pair_ID,sentence_A,sentence_B,entailment_AB,entailment_BA
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,A_neutral_B,B_neutral_A
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,A_contradicts_B,B_neutral_A
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,A_entails_B,B_entails_A
4,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,A_contradicts_B,B_contradicts_A
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,A_neutral_B,B_neutral_A
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,A_neutral_B,B_neutral_A
7,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,A_neutral_B,B_neutral_A
8,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,A_neutral_B,B_contradicts_A
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,A_neutral_B,B_neutral_A
10,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,A_entails_B,B_neutral_A
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,A_neutral_B,B_neutral_A
12,Two dogs are fighting,Two dogs are wrestling and hugging,A_neutral_B,B_neutral_A
13,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,A_contradicts_B,B_contradicts_A
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,A_neutral_B,B_neutral_A
15,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,A_neutral_B,B_neutral_A
16,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,A_neutral_B,B_neutral_A
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,A_neutral_B,B_neutral_A
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,A_neutral_B,B_neutral_A
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,A_entails_B,B_entails_A
20,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,A_contradicts_B,B_contradicts_A
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,A_neutral_B,B_neutral_A
22,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,A_entails_B,B_neutral_A
23,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,A_contradicts_B,B_contradicts_A
24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,A_neutral_B,B_neutral_A
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,A_contradicts_B,B_neutral_A
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,A_neutral_B,B_neutral_A
27,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,A_neutral_B,B_neutral_A
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,A_neutral_B,B_neutral_A
29,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,A_neutral_B,B_neutral_A
